"Duration (in seconds)","Finished","RecordedDate","ExternalReference","UserLanguage","Q5","Q6","Q1","Q7","Q8","Q9","Q27","Q10","Q24","Q23","Q24_1","Q19_1","Q19_2","Q19_3","Q19_4","Q19_5","Q19_6","Q19_7","Q19_8","Q21_1","Q21_2","Q21_3","Q21_4","Q21_5","Q21_6","Q21_7","Q21_8","Q22_1","Q22_2","Q22_3","Q22_4","Q29_1","Q29_2","Q29_3","Q29_4","Q31_1","Q31_2","Q31_3","Q31_4","Q31_5","Q31_6","Q32_1","Q32_2","Q32_3","Q32_4","Q32_5","Q32_6","source","RandomID","Q40 - Parent Topics","Q40 - Topics"
"394","True","2020-06-01 09:15:23",NA,"EN","Uttar Pradesh","Prayagraj","2","20-29","Female","0","Yes","Technical Director","No","1-5","0","0","1","0","1","0","1","0","3","0","1","1","1","0","1","1","2","3","2","0","0","2","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1490",NA,NA
"211","True","2020-06-01 09:15:39",NA,"EN","Tamil Nadu","COIMBATORE","4","40-49","Male","1","Yes","ENGINEER","No","0","0","1","1","0","0","0","1","2","0","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8284",NA,NA
"98","True","2020-06-01 09:15:48",NA,"EN","Tamil Nadu","india","2","20-29","Male","2","Yes","yes","Yes","1-5","1-5","2","3","4","5","6","7+","6","4","2","3","4","5","6","7+","6","5",NA,NA,NA,NA,NA,NA,NA,NA,"1","2","3","4","4","4","1","2","3","4","5+","4",NA,"4349",NA,NA
"371","True","2020-06-01 09:16:08",NA,"EN","Kerala","-","5+","20-29","Female","2","No","-","Yes","0","0","4","6","5","4","7+","2","0","0","6","4","6","5","6","4","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"2","3","1","0","0","0","2","3","0","0","0","0",NA,"7753",NA,NA
"94","True","2020-06-01 09:16:24",NA,"EN","Tamil Nadu","madurai","2","20-29","Male","2","Yes","busniess","Yes","1-5",NA,"7+","6","5","6","7+","7+","6","5","7+","6","5","6","7+","6","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"5+","4","5+","4","5+","4","5+","3","4","5+","4","5+",NA,"2748",NA,NA
"178","True","2020-06-01 09:17:00",NA,"EN","Tamil Nadu","madurai","4","20-29","Male","0","Yes","data entry","No","1-5","1-5","4","6","4","5","5","3","5","5","3","4","5","4","5","3","5","4","3","4","3","4","2","3","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7663",NA,NA
"276","True","2020-06-01 09:17:23",NA,"EN","Tamil Nadu","dindugul","4","20-29","Female","0","Yes","counceling advoicesory","No","0","1-5","5","6","4","5","4","5","4","4","5","4","5","4","5",NA,"4","5",NA,NA,NA,NA,NA,NA,NA,NA,"4","3","4","3","4","4","4","3","4","3","4","3",NA,"6568",NA,NA
"193","True","2020-06-01 09:17:25",NA,"EN","Tamil Nadu","salem","5+","20-29","Female","1","No",NA,"No","0","0","1","2","0","2","1","2","0","0","4","2","5","4","3","3","4","3",NA,NA,NA,NA,NA,NA,NA,NA,"2","1","1","1","0","2","4","3","4","4","4","1",NA,"8594",NA,NA
"75","True","2020-06-01 09:17:46",NA,"EN","Tamil Nadu","madurai","1","20-29","Male","2","Yes","busniess","Yes","1-5","1-5","6","7+","6","5","6","7+","6","5","7+","5","6","7+","5","6","7+","6",NA,NA,NA,NA,NA,NA,NA,NA,"5+","4","5+","4","5+","4","5+","4","5+","4","5+","4",NA,"7912",NA,NA
"186","True","2020-06-01 09:17:57",NA,"EN","Tamil Nadu","Tiruchirappalli","5+","40-49","Female","2","Yes","IT Executive","Yes","1-5","0","1","2","1","2","1","1","1","2","5","2","3","2","4","6","3","2",NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2","1","2","1","5+","4","2","1","3","4",NA,"2269",NA,NA
"79","True","2020-06-01 09:18:12",NA,"EN","Tamil Nadu","india","2","20-29","Male","1","Yes","yes","Yes","1-5","1-5","1","2","3","4","5","6","7+","6","2","3","4","5","6","5","6","5","1","2","3","3","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3068",NA,NA
"326","True","2020-06-01 09:18:19",NA,"EN","Kerala","Ernakulam","4","40-49","Male","0","Yes","Marketing","Yes","0","0","0","1","1","1","1","0","0","0","1","2","2",NA,"1","1","1","1","3","2","0","3","5+","4","0","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2066",NA,NA
"128","True","2020-06-01 09:18:33",NA,"EN","Tamil Nadu","MADURAI","3","20-29","Male","1","Yes","FULL TIME EMPLOYED","Yes","1-5","1-5","7+","6","7+","6","7+","6","7+","6","7+","6","7+","6","7+","6","7+","6",NA,NA,NA,NA,NA,NA,NA,NA,"5+","4","5+","4","5+","4","5+","4","5+","4","5+","4",NA,"1773",NA,NA
"283","True","2020-06-01 09:18:36",NA,"EN","Maharashtra","Mumbai","4","20-29","Male","1","Yes","Diamond merchant","Yes","1-5","0","1","0","0","1","1","1","1","3","1","0","0","1","1","2","1","3","0","1","0","2","0","1","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6563",NA,NA
"190","True","2020-06-01 09:19:00",NA,"EN","Kerala","Cochin","3","20-29","Female","0","Yes","Teacher","No","1-5","1-5","0","1","0","1","0","1","0","2","0","1","1","2","1","0","1","2","2","1","0","0","2","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3774",NA,NA
"115","True","2020-06-01 09:20:16",NA,"EN","Tamil Nadu","melur","3","20-29","Male","3","Yes","'Occupation' refers to the kind of work performed in a job, a job being all ... and those who did not then have a job (even if they had a job to start ...","Yes","1-5","1-5","6","7+","6","7+","6","7+","6","7+","6","7+","6","7+","6","7+","6","7+","4","5+","4","5+","4","5+","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9235",NA,NA
"135","True","2020-06-01 09:20:32",NA,"EN","Tamil Nadu","theni","1","20-29","Male","3","Yes","IT","No","6-10","1-5","7+","6","7+","7+","6","6","7+","6","6","6","6","7+","6","6","6","7+",NA,NA,NA,NA,NA,NA,NA,NA,"5+","4","5+","5+","5+","5+","5+","4","4","5+","4","5+",NA,"7341",NA,NA
"146","True","2020-06-01 09:20:55",NA,"EN","Tamil Nadu","MADURAI","4","20-29","Male","0","Yes","TEAM LEADER","Yes","1-5","0","3","6","6","5","5","4","2","2","6","6","6","6","5","5","5","5","4","4","2","2","4","4","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5966",NA,NA
"79","True","2020-06-01 09:21:02",NA,"EN","Tamil Nadu","india","3","20-29","Male","1","Yes","yes","No","1-5","1-5","2","3","4","5","5","6","5","5","1","2","3","4","5","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"1","2","3","4","3","4","1","2","3","4","3","5+",NA,"3485",NA,NA
"308","True","2020-06-01 09:22:40",NA,"EN","Telengana","Hyderabad","4","20-29","Female","1","Yes","Software engineer","Yes","6-10","11-15","2","3","5","1","3","0","0","0","4","3","2","2","1","0","1","2","2","1","2","1","5+","4","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4799",NA,NA
"112","True","2020-06-01 09:22:48",NA,"EN","Tamil Nadu","MADURAI","1","20-29","Male","1","Yes","FARMER","Yes","1-5","1-5","7+","6","7+","6","7+","6","7+","6","7+","6","7+","6","7+","6","6","7+",NA,NA,NA,NA,NA,NA,NA,NA,"5+","4","5+","4","5+","5+","5+","4","5+","4","5+","4",NA,"7362",NA,NA
"145","True","2020-06-01 09:22:52",NA,"EN","Tamil Nadu","Chennai","4","20-29","Male","1","Yes","Software engineer","Yes","1-5","6-10","1","3","4","3","4","3","2","3","3","4","4","4","5","2","3","5",NA,NA,NA,NA,NA,NA,NA,NA,"4","4","4","2","3","4","4","3","3","3","2","3",NA,"2592",NA,NA
"362","True","2020-06-01 09:22:58",NA,"EN","Madhya Pradesh","Ujjain","5+","30-39","Male","0","Yes","Manager","No","1-5","0","0","5","2","0","1","0","0","0","3","3","2","1","2","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","0","2","0","0","0","0","1",NA,"5110",NA,NA
"59","True","2020-06-01 09:23:08",NA,"EN","Tamil Nadu","india","1","20-29","Male","1","Yes","yes","Yes","1-5","1-5","1","2","3","5","6","5","4","5","1","3","4","5","6","5","4","3","1","2","3","2","1","4","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1525",NA,NA
"82","True","2020-06-01 09:23:44",NA,"EN","Tamil Nadu","theni","1","20-29","Female","2","Yes","government","Yes","16+","16+","7+","7+","7+","6","7+","6","7+","6","7+","6","7+","6","6","7+","7+","7+",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","5+","4","5+","4","5+","4","5+","4","5+","5+",NA,"5308",NA,NA
"77","True","2020-06-01 09:24:15",NA,"EN","Tamil Nadu","Chennai","4","20-29","Male","1","Yes","Software engineer","Yes","1-5","1-5","4","4","3","4","4","4","5","5","4","4","5","4","5","5","4","5","3","2","2","3","1","1","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6362",NA,NA
"260","True","2020-06-01 09:25:17",NA,"EN","Gujurat","Vadodara","5+","30-39","Male","2","Yes","Accounts & Finance Manager","Yes","1-5","0","0","2","2","2","0","0","0","1","0","2","2","2","0","0","0","2","0","5+","0","0","0","5+","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5647",NA,NA
"151","True","2020-06-01 09:25:48",NA,"EN","Tamil Nadu","Madurai","3","20-29","Male","0","Yes","BPO Executive","Yes","1-5","1-5","0","0","1","1","1","2","1","1","5","5","6","6","7+","5","5","6","2","3","2","3","4","4","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7070",NA,NA
"56","True","2020-06-01 09:25:50",NA,"EN","Tamil Nadu","madurai","2","20-29","Female","5+","Yes","it","Yes","6-10","6-10","7+","6","6","7+","6","6","6","6","7+","6","6","6","6","6","6","7+",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","4","5+","4","5+","4","4","4","4","5+",NA,"6486",NA,NA
"286","True","2020-06-01 09:26:08",NA,"EN","Tamil Nadu","MADURAI","3","20-29","Male","0","Yes","SOFTWARE DEVELOPER","No","0","1-5","0","2","1","0","3","0","0","0","1","4","3","2","2","3","2","5",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0","1","0","4","5+","4","5+","4","3",NA,"1746",NA,NA
"86","True","2020-06-01 09:27:05",NA,"EN","Tamil Nadu","MADURAI","1","20-29","Male","1","Yes","FULL TIME EMPLOYED","Yes","1-5","1-5","7+","6","7+","6","7+","6","7+","6","7+","6","7+","6","7+","6","7+","6",NA,NA,NA,NA,NA,NA,NA,NA,"5+","4","5+","4","5+","4","5+","4","5+","4","5+","4",NA,"8626",NA,NA
"98","True","2020-06-01 09:27:53",NA,"EN","Tamil Nadu","theni","4","20-29","Male","2","Yes","it","Yes","16+","16+","7+","7+","7+","6","7+","7+","7+","7+","2","2","4","2","0","0","2","1","1","2","3","4","3","3","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1959",NA,NA
"164","True","2020-06-01 09:28:03",NA,"EN","Tamil Nadu","chennai","5+","30-39","Female","1","Yes","designer","Yes","0","0","0","2","2","1","1","0","0","0","0","1","1","1","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0","0","1","1","1","0","0","0","1",NA,"5411",NA,NA
"65","True","2020-06-01 09:28:15",NA,"EN","Tamil Nadu","india","1","20-29","Male","1","Yes","yes","Yes","1-5","1-5","1","2","3","5","6","4","5","6","2","3","4","5","4","5","6","5","2","3","4","3","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6194",NA,NA
"249","True","2020-06-01 09:28:21",NA,"EN","Kerala","Thiruvananthapuram","2","30-39","Male","1","Yes","Biomedical Engineer","Yes","0","0","0","2","2","1","1","0","0","0","0","2","2","2","2","0","0","0","1","0","0","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1564",NA,NA
"184","True","2020-06-01 09:28:36",NA,"EN","Gujurat","Vadodara","5+","30-39","Male","2","Yes","Accounts & Finance Manager","Yes","1-5","0","0","2","2","2","0","0","0","1","0","2","2","2","0","0","0","2",NA,NA,NA,NA,NA,NA,NA,NA,"5+","1","1","2","0","0","5+","1","1","5+","1","1",NA,"6413",NA,NA
"119","True","2020-06-01 09:28:54",NA,"EN","Maharashtra","Mumbai","4","30-39","Male","0","Yes","Personal Secretary","Yes","0","0","5","5","6","6","5","5","6","6","6","5","4","6","5","4","6","6",NA,NA,NA,NA,NA,NA,NA,NA,"4","3","2","3","4","4","4","3","2","3","4","3",NA,"6911",NA,NA
"235","True","2020-06-01 09:29:58",NA,"EN","Tamil Nadu","Erode","4","30-39","Female","0","Yes","Assistant Employer","No","0","0","1","2","2","0","3","0","0","0","1","3","2","0","2","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"2","2","1","0","1","1","4","3","3","1","2","2",NA,"3743",NA,NA
"63","True","2020-06-01 09:30:10",NA,"EN","Tamil Nadu","india","1","20-29","Male","1","Yes","yes","Yes","1-5","6-10","1","2","3","4","5","6","5","4","2","3","4","5","6","5","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"1","5+","1","3","2","3","2","5+","3","2","3","4",NA,"1712",NA,NA
"481","True","2020-06-01 09:30:34",NA,"EN","Tamil Nadu","CHENNAI","4","40-49","Male","0","Yes","electrician","No","1-5","0","1","2","2","2","2","1","1","0","5","6","6","6","3","2","3","6","2","3","2","1","3","2","3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6197",NA,NA
"127","True","2020-06-01 09:30:36",NA,"EN","Tamil Nadu","madurai","4","20-29","Male","0","Yes","product engineer","Yes","1-5","1-5","1","3","4","2","1","2","3","2","1","2","3","2","1","2","3","2","1","2","1","2","1","0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3477",NA,NA
"440","True","2020-06-01 09:30:47",NA,"EN","Maharashtra","Mumbai","4","30-39","Female","1","Yes","Teacher","Yes","0","1-5","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6014",NA,NA
"74","True","2020-06-01 09:31:02",NA,"EN","Tamil Nadu","theni","2","30-39","Female","2","Yes","government","Yes","6-10","11-15","6","6","6","7+","6","6","7+","6","7+","6","6","6","6","6","7+","6",NA,NA,NA,NA,NA,NA,NA,NA,"5+","4","4","5+","4","4","5+","4","4","4","4","4",NA,"1935",NA,NA
"1059","True","2020-06-01 09:31:04",NA,"EN","Tamil Nadu","SALEM","5+","30-39","Male","2","Yes","Technical Support","No","1-5","6-10","1","4","5","3","2","0","2","4","5","6","5","4","5","3","6","5","2","1","1","0","4","5+","3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5679",NA,NA
"201","True","2020-06-01 09:32:13",NA,"EN","Tamil Nadu","ERODE","1","30-39","Female","1","Yes","EDUCATION","Yes","1-5","11-15","2","6","5","5","6","5","7+","7+","6","6","6","7+","7+","6","6","7+","5+","5+","5+","4","4","5+","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2145",NA,NA
"66","True","2020-06-01 09:32:37",NA,"EN","Tamil Nadu","theni","3","30-39","Male","2","Yes","marketting","Yes","6-10","1-5","5","7+","5","7+","6","7+","5","7+","6","6","5","5","7+","6","7+","6","4","2","5+","4","3","5+","4","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2913",NA,NA
"60","True","2020-06-01 09:32:58",NA,"EN","Tamil Nadu","india","1","20-29","Male","1","Yes","yes","No","1-5","1-5","1","2","3","4","5","6","6","7+","5","4","1","3","4","3","6","6",NA,NA,NA,NA,NA,NA,NA,NA,"1","2","3","4","5+","4","1","2","3","2","3","4",NA,"5952",NA,NA
"210","True","2020-06-01 09:33:09",NA,"EN","Himachal Pradesh","Shimla HP","5+","60+","Female","2","No","Retired","No","1-5","0","1","0","0","0","2","0","0","1","1","0","0","0","2","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"2","0","2","0","0","0","2","1","0","0","1","0",NA,"9555",NA,NA
"164","True","2020-06-01 09:33:29",NA,"EN","Tamil Nadu","Coimbatore","5+","30-39","Male","1","Yes","Executive","No","0","1-5","2","6","3","4","6","4","0","0","1","7+","3","4","6","4","0","0","3","1","3","2","3","4","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2599",NA,NA
"451","True","2020-06-01 09:33:30",NA,"EN","Tamil Nadu","madurai","2","20-29","Male","1","Yes","IT","No","0","0","5","6","7+","6","5","6","7+","6","5","6","7+","6","5","6","7+","6",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","5+","4","5+","3","4","5+","4","3","4",NA,"7269",NA,NA
"164","True","2020-06-01 09:34:11",NA,"EN","Tamil Nadu","coimbatore","3","30-39","Male","1","Yes","MANAGER","Yes","1-5","1-5","0","3","0","1","4","1","0","0","0","3","0","0","2","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","0",NA,"8461",NA,NA
"196","True","2020-06-01 09:34:21",NA,"EN","Kerala","Kochi","3","20-29","Male","0","Yes","Process Associate","Yes","0","0","0","1","1","1","1","0","0","0","0","1","1","1","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0",NA,"0","0","0","0","0",NA,"8309",NA,NA
"213","True","2020-06-01 09:34:22",NA,"EN","Tamil Nadu","india","2","30-39","Male","2","Yes","data entry","Yes","1-5","1-5","6","7+","6","5","6",NA,"7+","5","5","6","7+","6","5","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"4","5+","4","3","4","5+","4","5+","4","3","2","3",NA,"5762",NA,NA
"233","True","2020-06-01 09:34:29",NA,"EN","Kerala","Kottayam","3","50-59","Male","0","Yes","sales man","No","1-5","0","0","2","2","0","1","0","0","0","2","3","1","1","1","0","1","2","0","0","0","0","1","1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5674",NA,NA
"132","True","2020-06-01 09:34:42",NA,"EN","Tamil Nadu","madurai","1","30-39","Male","2","Yes","IT","Yes","6-10","6-10","6","6","7+","6","6","7+","6","7+","6","6","7+","6","7+","7+","7+","7+","5+","5+","5+","4","5+","4","5+","5+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7126",NA,NA
"222","True","2020-06-01 09:34:47",NA,"EN","Tamil Nadu","Kancheepuram","2","40-49","Male","0","Yes","Service HR","No","1-5","0","0","1","1","1","2","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9626",NA,NA
"200","True","2020-06-01 09:34:53",NA,"EN","Andra Pradhesh","Vijayawada","5+","30-39","Male","1","Yes","Construction manager","Yes","1-5","1-5","1","3","3","1","2","1","1","1","1","3","1","1","1","1","1","1","2","2","2","2","2","3","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4830",NA,NA
"223","True","2020-06-01 09:34:54",NA,"EN","Tamil Nadu","Coimbatore","4","40-49","Female","0","Yes","HR","Yes","1-5","0","0","1","0","0","1","0","0","0","0","1","0","0","2","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","0","0","1","1","0","0","0","0","0",NA,"4169",NA,NA
"149","True","2020-06-01 09:35:31",NA,"EN","Tamil Nadu","MADURAI","4","30-39","Male","1","Yes","BUSINESSMAN","No","1-5","1-5","6","4","4","1","2","1","2","2","4","3","4","5","5","3","2","1",NA,NA,NA,NA,NA,NA,NA,NA,"3","2","2","3","2","2","2","4","3","3","2","2",NA,"8701",NA,NA
"121","True","2020-06-01 09:35:59",NA,"EN","Tamil Nadu","Salem","5+","30-39","Male","1",NA,"Underwriter","No","0","1-5","3","7+","4","5","6","2","0","0","2","6","4","3","5","4","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"2","0","0","0","3","4","1","0","1","0","4","3",NA,"9078",NA,NA
"227","True","2020-06-01 09:36:54",NA,"EN","Tamil Nadu","Chennai","4","30-39","Male","1","Yes","Software engineer","Yes","1-5","0","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0","1",NA,"3245",NA,NA
"147","True","2020-06-01 09:37:14",NA,"EN","Tamil Nadu","Karur","3","30-39","Male","1","Yes","Manager","Yes","1-5","0","2","1","1","2","1","1","0","3","2","2","2","1","3","1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,"3","2","3","2","3","2","3","2","3","2","3","2",NA,"2097",NA,NA
"195","True","2020-06-01 09:37:15",NA,"EN","Tamil Nadu","Coimbatore","3","20-29","Male","0","Yes","Senior Associate","No","1-5","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","2","1","0","0","3","3","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4680",NA,NA
"91","True","2020-06-01 09:38:49",NA,"EN","Tamil Nadu","Chennai","3","30-39","Male","2","Yes","Software engineer","Yes","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9688",NA,NA
"254","True","2020-06-01 09:39:44",NA,"EN","Tamil Nadu","Arani/TN/TVM District","3","30-39","Male","1","No",NA,"No","0","0","3","1","1","1","1","1","1","1","5","2","2","1","2","0","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"2","2","1","1","1","1","2","1","1","0","1","1",NA,"4193",NA,NA
"499","True","2020-06-01 09:40:05",NA,"EN","Kerala","Kollam","2","30-39","Male","0","Yes","Accountant","No","1-5","6-10","1","2","1","2","2","1","2","2","1","2","1","2","2","1","2","2","3","2","2","3","2","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8328",NA,NA
"123","True","2020-06-01 09:40:47",NA,"EN","Maharashtra","maharashtra","3","20-29","Male","2","Yes","marketting","No","6-10","6-10","5","6","5","6","5","4","5","7+","5","6","4","6","6","5","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"3","4","5+","4","4","3","3","4","5+","4","3","4",NA,"8135",NA,NA
"186","True","2020-06-01 09:41:47",NA,"EN","Tamil Nadu","coimbatore","2","20-29","Male","0","Yes","quality manager","No","1-5","0","0","3","1","0","5","0","1",NA,"5","4","6","5","5","6","4","6",NA,NA,NA,NA,NA,NA,NA,NA,"3","1","2","0","1","2","3","4","2","3","4","3",NA,"5757",NA,NA
"212","True","2020-06-01 09:42:20",NA,"EN","Tamil Nadu","COIMBATORE","4","20-29","Male","4","Yes","SYSTEM ADMIN","No","1-5","1-5","3","4","2","1","7+","2","3","2","6","7+","7+","4","5","6","6","5",NA,NA,NA,NA,"2","1","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7932",NA,NA
"186","True","2020-06-01 09:42:35",NA,"EN","Tamil Nadu","Madurai","4","20-29","Male","0","Yes","IT EMPLOYEE","Yes","1-5","6-10","5","4","4","5","6","4","3","5","6","4","5","6","4","5","6","3","4","2","3","3","4","3","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7709",NA,NA
"150","True","2020-06-01 09:42:40",NA,"EN","Tamil Nadu","Chennai","3","20-29","Male","1","Yes","Service","Yes","1-5","1-5","0","1","1","1","1","0","0","0","0","1","1","1","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"2","2","2","0","1","3","2","2","2","0","0","3",NA,"2129",NA,NA
"878","True","2020-06-01 09:42:53",NA,"EN","Tamil Nadu","Chennai","4","20-29","Female","1","Yes","sales","Yes","0","0","0","1","1","0","0","0","0","0","2","3","2","1","2","2","1","1","0","0","0","0","2","2","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7261",NA,NA
"27","True","2020-06-01 09:42:54",NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4501",NA,NA
"268","True","2020-06-01 09:43:38",NA,"EN","Maharashtra","Mumbai","5+","30-39","Male","1","Yes","Analyst","No","1-5","0","1","2","0","1","0","0","0","2","1","2","3","1","1","0","0","3","1","1","1","1","1","1","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5168",NA,NA
"275","True","2020-06-01 09:43:50",NA,"EN","Tamil Nadu","Coimbatore","5+","60+","Female","2","Yes","Tutor","Yes","6-10","1-5","5","6","3","3","4","3","2","4","3","5","1","1","1","0","0","2",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0","0","0","4","3","2","3","3","2",NA,"5276",NA,NA
"60","True","2020-06-01 09:44:16",NA,"EN","Nagaland","nagaland","4","30-39","Male","3","Yes","marketting","No","6-10","6-10","5","6","7+","6","7+","4","4","6","5","4","5","4","6","6","6","7+",NA,NA,NA,NA,NA,NA,NA,NA,"4","2","4","5+","3","5+","4","4","4","2","5+","3",NA,"7037",NA,NA
"131","True","2020-06-01 09:45:52",NA,"EN","Tamil Nadu","Madurai","4","20-29","Male","0","Yes","Bpo worker","Yes","1-5","6-10","5","4","5","6","4","4","5","6","6","5","5","3","5","6","4","4","4","3","2","3","4","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6901",NA,NA
"145","True","2020-06-01 09:46:36",NA,"EN","Tamil Nadu","NAMAKKAL","2","20-29","Male","0","Yes","Warehouse Executive","No","0","1-5","4","3","5","1","1","0","1","1","3","2","3","4","1","1","2","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","2","2","2","2","1","2","3","2","1","1","1",NA,"1623",NA,NA
"93","True","2020-06-01 09:47:11",NA,"EN","Tamil Nadu","MADURAI","1","20-29","Male","1","Yes","FULL TIME EMPLOYED","Yes","1-5","1-5","7+","6","6","7+","6","7+","6","7+","7+","6","7+","6","7+","6","6","7+","5+","4","5+","4","5+","4","5+","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2005",NA,NA
"168","True","2020-06-01 09:47:45",NA,"EN","Tamil Nadu","madurai","5+","20-29","Male","1","Yes","manager","Yes","1-5","1-5","7+","6","6","7+","5","5","6","7+","7+","7+","5","6","5","5","6","7+",NA,NA,NA,NA,NA,NA,NA,NA,"5+","4","3","4","4","5+","5+","4","3","4","4","5+",NA,"9600",NA,NA
